Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company,EMP_Sat_OnPrem_mean,EMP_Sat_Remote_mean,EMP_Engagement_mean,Emp_Work_Status_mean,Emp_Competitive_mean,Emp_Collaborative_mean
Finance,Level 2-4,0,3,6,0.8,0.78,3,262,7,1,1,high,5,4,5,5,2,5985,80,7,0,3.5,4.2,4.2,1.5,2.0,3.4
Operations,Senior Manager,0,3,6,0.5,0.65,3,185,2,0,0,high,49,2,1,2,1,3864,90,7,0,1.8,4.2,4.2,2.0,3.4,2.0
IT,Level 2-4,0,3,6,0.4,0.61,4,182,3,0,0,low,58,2,2,2,1,3943,85,6,0,3.8,4.2,4.2,1.8,2.2,2.2
Operations,Senior Manager,1,3,6,0.4,0.52,4,217,6,0,0,low,61,2,2,1,2,3974,76,6,0,3.8,2.4,4.2,2.2,3.0,2.4
Human Resources,Level 2-4,0,3,6,0.4,0.51,4,223,2,0,0,low,57,2,1,2,2,3645,78,6,0,3.8,2.4,4.2,4.2,2.2,2.4
Warehouse,Director,1,3,6,0.8,0.87,3,194,2,0,0,medium,1,4,3,2,2,5931,77,2,0,3.5,4.2,4.2,1.8,2.4,2.4
Human Resources,Manager,0,3,6,0.8,0.74,5,255,2,0,0,medium,1,4,2,3,4,4604,75,9,0,3.5,4.2,4.2,3.0,2.8,2.4
IT,Level 2-4,1,3,6,0.8,0.74,3,229,7,0,1,high,4,4,2,5,2,5075,78,6,0,3.5,4.2,4.2,3.2,3.8,3.6
Human Resources,Manager,0,3,6,0.8,0.95,6,271,4,0,0,low,6,2,1,1,1,1934,88,2,1,3.5,4.2,1.8,2.8,2.6,3.8
Operations,Level 2-4,0,3,6,0.5,0.69,2,174,3,0,0,medium,12,2,1,1,1,1358,66,10,0,1.8,4.2,4.2,2.8,2.6,2.4
Human Resources,Level 2-4,1,3,6,0.4,0.49,5,185,3,0,0,low,9,1,1,1,1,3653,88,7,0,3.8,2.4,4.2,2.8,2.6,3.4
Warehouse,Level 2-4,1,3,6,0.8,0.78,3,189,2,0,0,low,9,3,4,3,3,4690,76,5,0,3.5,4.2,4.2,4.0,2.2,2.2
Human Resources,Level 2-4,1,3,6,0.4,0.48,2,148,3,0,0,low,29,2,2,2,1,1776,65,7,1,3.8,2.4,1.8,3.0,3.4,3.2
Warehouse,Level 1,0,3,6,0.4,0.58,3,201,3,0,0,medium,5,1,1,2,2,2040,77,8,0,3.8,2.4,4.2,3.0,2.2,2.2
IT,Level 2-4,1,3,6,0.4,0.52,2,159,3,0,0,low,38,1,2,2,2,1458,66,9,1,3.8,2.4,1.8,3.0,2.0,2.2
IT,Level 2-4,0,3,6,0.4,0.59,4,187,3,0,0,low,61,1,1,2,1,2207,86,10,0,3.8,2.4,4.2,2.8,3.2,2.6
Warehouse,Level 2-4,0,3,6,0.4,0.57,5,216,3,0,0,low,40,2,1,1,1,2146,79,10,0,3.8,2.4,4.2,2.8,2.0,3.2
Operations,Level 2-4,1,3,6,0.4,0.57,4,192,3,0,0,high,20,2,2,2,1,3872,88,8,0,3.8,2.4,4.2,2.5,2.6,3.0
IT,Level 2-4,1,3,6,0.4,0.46,2,156,3,0,0,low,10,2,2,2,2,1659,72,8,1,3.8,2.4,1.8,4.0,3.6,1.6
Finance,Level 2-4,0,3,6,0.8,0.87,3,223,7,0,0,high,5,3,3,3,2,4439,77,8,0,3.5,4.2,4.2,2.5,3.0,2.6
IT,Senior Manager,1,3,6,0.8,0.98,4,146,10,0,0,low,3,4,4,3,3,4152,74,7,0,3.5,4.6,4.2,3.2,3.4,3.6
Warehouse,Level 2-4,1,3,6,0.4,0.56,3,159,3,0,0,medium,32,1,1,2,2,1127,71,7,0,3.8,2.4,4.2,2.5,2.8,1.8
IT,Level 2-4,1,3,6,0.8,0.72,2,240,5,0,0,low,7,3,4,3,3,4138,80,6,0,3.5,4.2,4.2,2.8,3.2,2.4
Sales,Level 2-4,1,3,6,0.4,0.55,2,135,3,0,0,low,21,1,2,1,1,1535,62,7,1,3.8,2.4,1.8,3.2,2.4,3.6
Sales,Level 2-4,1,3,6,0.4,0.57,4,266,3,0,0,low,23,1,2,1,2,3775,75,6,0,3.8,2.4,4.2,2.0,2.0,3.2
Finance,Level 2-4,0,3,6,0.8,0.84,3,240,7,0,0,medium,9,3,3,4,3,5525,75,9,0,3.5,4.2,4.2,2.5,4.4,3.2
Warehouse,Level 2-4,1,3,6,0.8,1.0,5,218,5,0,0,medium,4,2,1,2,2,1433,87,3,1,3.5,4.6,1.8,3.5,2.8,2.6
Operations,Level 2-4,0,3,6,0.8,0.79,5,271,4,0,0,high,10,4,4,3,3,4305,80,9,0,3.5,4.2,4.2,3.0,3.2,3.2
Finance,Level 2-4,1,3,6,0.4,0.5,3,262,5,0,0,medium,5,2,1,1,1,2451,79,10,0,3.8,2.4,4.2,3.5,2.0,2.2
Operations,Level 1,1,3,6,0.8,0.9,4,226,5,0,0,medium,6,2,2,2,2,1723,85,1,1,3.5,4.2,1.8,3.2,2.2,3.2
Operations,Director,0,3,6,0.4,0.44,5,255,5,1,0,low,47,1,2,2,1,3598,79,8,0,3.8,2.4,4.2,2.8,2.4,3.0
Finance,Senior Manager,0,3,6,0.4,0.62,4,217,2,0,0,medium,22,1,2,1,2,2138,78,6,0,1.8,4.2,4.2,2.2,2.8,2.6
IT,Director,0,3,6,0.4,0.49,3,268,3,0,0,low,1,2,2,2,2,2648,79,6,0,3.8,2.4,4.2,2.5,2.0,1.6
Warehouse,Manager,0,3,6,0.8,0.85,4,180,4,0,0,medium,9,4,2,2,4,4329,70,2,0,3.5,4.2,4.2,2.5,2.2,3.0
Human Resources,Director,1,3,6,0.8,0.97,4,237,5,0,0,medium,4,2,3,2,3,4917,80,4,0,3.5,4.6,4.2,3.8,3.4,3.2
Sales,Senior Manager,1,3,6,0.5,0.68,5,203,2,0,0,low,37,2,1,2,2,3531,80,6,0,1.8,4.2,4.2,3.0,2.6,3.4
Human Resources,Manager,0,3,6,0.8,0.72,4,214,2,1,0,low,8,3,3,3,2,4512,79,2,0,3.5,4.2,4.2,3.2,2.0,2.8
IT,Level 1,0,3,6,0.4,0.57,2,151,3,1,0,low,12,2,2,1,1,1562,73,6,1,3.8,2.4,1.8,3.8,2.8,3.8
Operations,Level 2-4,1,3,6,0.4,0.52,2,127,3,1,0,low,11,1,2,2,2,1561,75,8,1,3.8,2.4,1.8,2.2,3.6,3.0
Finance,Level 2-4,0,3,6,0.4,0.46,2,150,3,1,0,low,34,2,1,2,1,1492,75,10,1,3.8,2.4,1.8,2.5,2.0,3.4
Warehouse,Level 2-4,1,3,6,0.4,0.54,4,210,3,0,0,low,4,1,2,2,2,2372,75,8,0,3.8,2.4,4.2,3.5,2.2,3.6
Sales,Level 2-4,0,3,6,0.4,0.56,2,131,3,0,0,low,39,2,1,1,1,1512,67,6,1,3.8,2.4,1.8,2.2,3.0,2.0
Human Resources,Level 2-4,1,3,6,0.8,0.95,5,137,3,0,0,medium,10,3,4,3,3,4641,75,1,0,3.5,4.2,4.2,3.0,3.2,3.4
Sales,Director,1,3,6,0.4,0.36,4,128,4,0,0,medium,7,2,2,2,1,1940,86,6,0,3.8,2.4,4.2,3.5,1.6,1.6
Sales,Level 2-4,0,3,6,0.4,0.63,5,229,2,0,0,medium,59,2,2,1,2,3844,78,7,0,1.8,4.2,4.2,4.0,2.6,3.6
Human Resources,Senior Director,0,3,6,0.4,0.54,4,198,3,0,0,low,5,1,2,1,2,3709,86,10,0,3.8,2.4,4.2,3.5,2.2,3.6
IT,Level 2-4,0,3,6,0.4,0.52,4,178,3,0,0,medium,29,2,1,2,1,1273,89,6,0,3.8,2.4,4.2,1.5,3.0,2.4
IT,Level 2-4,1,3,6,0.4,0.61,5,254,5,0,0,low,36,1,1,1,2,2039,80,9,0,3.8,4.2,4.2,3.0,2.6,2.0
Warehouse,Manager,1,3,6,0.8,0.8,4,113,3,0,0,medium,10,3,4,3,4,4053,74,9,0,3.5,4.2,4.2,4.5,3.6,2.8
IT,Senior Director,0,3,6,0.4,0.62,3,147,3,0,0,low,2,1,1,1,1,1307,65,7,0,1.8,4.2,4.2,4.5,1.6,3.2
Sales,Senior Manager,1,3,6,0.4,0.5,2,150,6,0,0,low,54,2,1,1,2,1481,64,8,0,3.8,2.4,4.2,2.5,1.6,3.2
IT,Level 2-4,0,3,6,0.8,0.9,5,266,3,0,0,low,2,4,4,2,3,5260,79,7,0,3.5,4.2,4.2,2.5,3.8,1.4
Human Resources,Director,0,3,6,0.8,1.0,5,229,5,0,0,low,10,1,1,1,2,1951,88,4,1,0.0,4.6,1.8,2.8,2.6,3.6
Operations,Manager,0,3,6,0.8,0.83,3,226,2,0,0,medium,6,4,3,2,4,4946,79,8,0,3.5,4.2,4.2,2.2,2.0,3.6
Operations,Manager,1,3,6,0.8,0.94,6,144,4,0,0,low,5,2,4,3,3,4631,75,2,0,3.5,4.2,4.2,3.8,2.4,2.4
Finance,Level 2-4,1,3,6,0.8,0.86,4,181,3,0,0,medium,6,3,3,3,2,5964,75,3,0,3.5,4.2,4.2,3.2,3.4,3.0
Sales,Director,1,3,6,0.5,0.68,4,238,3,0,0,low,13,2,1,2,2,2042,77,8,0,1.8,4.2,4.2,3.2,2.6,2.2
Operations,Senior Manager,0,3,6,0.8,0.95,6,248,3,0,0,low,3,3,3,2,2,5709,78,7,0,3.5,4.2,4.2,4.0,2.8,3.0
Warehouse,Level 2-4,0,3,6,0.4,0.64,2,211,3,0,0,medium,12,2,2,1,1,3296,75,6,0,1.8,4.2,4.2,2.2,2.2,3.2
Finance,Level 2-4,0,3,6,0.8,0.96,3,268,4,0,0,low,6,3,2,3,3,4415,80,4,0,3.5,4.2,4.2,2.5,3.6,3.0
Sales,Senior Manager,1,3,6,0.8,0.7,6,141,3,1,0,medium,8,2,3,3,3,5031,78,2,0,3.5,4.2,4.2,3.5,3.2,2.2
Operations,Level 1,1,3,6,0.8,0.82,5,158,2,0,0,low,4,4,2,3,2,5736,72,6,0,3.5,4.2,4.2,2.8,3.0,2.0
Human Resources,Level 1,0,3,6,0.5,0.67,5,133,10,0,0,medium,53,1,2,2,1,1674,86,8,0,1.8,4.2,4.2,3.2,2.6,3.2
Finance,Level 1,0,3,6,0.5,0.7,3,195,3,0,0,medium,47,2,2,1,2,2439,88,6,0,1.8,4.2,4.2,4.2,2.6,3.8
Finance,Manager,0,3,6,0.8,0.97,3,263,3,0,0,medium,4,4,3,3,4,4616,76,4,0,3.5,4.6,4.2,2.8,3.4,3.4
Warehouse,Level 1,1,3,6,0.4,0.48,5,273,2,0,0,medium,7,2,2,1,2,2796,76,8,0,3.8,2.4,4.2,3.8,2.8,3.0
Finance,Senior Manager,1,3,6,0.4,0.6,3,188,3,0,0,high,9,2,1,1,1,3206,86,9,0,3.8,4.2,4.2,3.5,2.4,1.6
Warehouse,Level 2-4,0,3,6,0.8,0.88,6,183,4,0,0,medium,3,2,2,2,4,4842,78,5,0,3.5,4.2,4.2,3.0,3.6,3.0
Operations,Level 2-4,0,3,6,0.8,0.9,7,281,4,0,0,low,9,1,2,2,2,1235,86,1,1,3.5,4.2,1.8,2.5,3.0,2.6
IT,Level 1,0,3,6,0.8,0.78,3,206,3,1,1,high,5,5,5,5,3,4022,76,2,0,3.5,4.2,4.2,3.5,3.8,2.4
Finance,Level 1,0,3,6,0.4,0.56,4,272,3,0,0,low,55,1,2,2,1,3537,79,7,0,3.8,2.4,4.2,2.2,3.0,2.4
Operations,Manager,0,3,6,0.8,0.88,6,284,4,0,0,low,9,2,2,1,2,1436,85,2,1,3.5,4.2,1.8,2.8,3.0,2.6
Operations,Manager,1,3,6,0.8,0.7,4,225,5,0,0,low,5,2,3,2,3,5060,78,9,0,3.5,4.2,4.2,1.8,2.6,3.0
Human Resources,Level 2-4,1,3,6,0.8,0.8,6,304,4,0,0,low,9,1,1,2,1,1392,89,5,1,3.5,4.2,1.8,2.2,1.8,2.0
IT,Level 2-4,1,3,6,0.8,0.91,4,229,5,0,0,low,7,2,1,2,2,1049,89,7,1,3.5,4.2,1.8,3.8,3.0,3.2
Warehouse,Level 2-4,1,3,6,0.8,0.94,4,184,7,0,0,medium,5,2,2,4,2,5920,80,9,0,3.5,4.2,4.2,3.8,3.8,2.8
Sales,Manager,1,3,6,0.8,0.78,2,198,2,0,0,medium,4,1,2,1,1,1913,86,6,1,3.5,4.2,1.8,3.5,1.6,2.4
Sales,Level 2-4,1,3,6,0.8,0.89,2,173,3,0,0,low,10,2,2,3,2,4736,70,3,0,3.5,4.2,4.2,3.0,3.8,2.6
Warehouse,Senior Manager,0,3,6,0.8,0.86,4,250,3,0,0,low,10,4,3,2,2,4316,75,2,0,3.5,4.2,4.2,3.0,2.8,3.2
Finance,Level 2-4,0,3,6,0.4,0.47,2,151,3,0,0,medium,19,1,2,2,2,7148,66,8,1,3.8,2.4,1.8,1.8,2.0,3.2
Warehouse,Senior Manager,0,3,6,0.4,0.39,6,246,4,0,0,medium,49,1,2,1,1,2846,76,6,0,3.8,2.4,4.2,2.8,3.4,2.6
Human Resources,Level 2-4,1,3,6,0.8,0.87,5,258,5,0,0,low,4,1,1,1,1,1665,88,9,1,3.5,4.2,1.8,2.8,1.8,1.6
Warehouse,Level 2-4,0,3,6,0.8,0.93,6,279,4,0,0,low,5,1,2,2,2,1241,86,5,1,3.5,4.2,1.8,3.8,2.6,3.6
Operations,Manager,1,3,6,0.5,0.66,4,150,3,0,0,low,48,1,2,2,1,1193,88,6,0,1.8,4.2,4.2,1.8,1.8,2.6
Finance,Level 1,0,3,6,0.8,0.81,3,249,2,0,0,low,2,3,3,3,3,5572,78,7,0,3.5,4.2,4.2,2.0,2.2,2.4
IT,Senior Manager,1,3,6,0.4,0.53,5,169,3,0,0,low,46,1,1,1,2,1285,90,7,0,3.8,2.4,4.2,3.5,2.2,2.8
Finance,Level 2-4,0,3,6,0.4,0.55,4,269,3,0,0,high,25,1,1,2,1,3583,75,8,0,3.8,2.4,4.2,2.8,2.0,2.4
Finance,Level 2-4,0,3,6,0.5,0.67,3,264,2,0,0,medium,33,1,2,2,2,2021,75,7,0,1.8,4.2,4.2,3.0,1.8,3.4
Human Resources,Level 1,1,3,6,0.4,0.6,2,163,3,0,0,medium,37,1,1,2,1,1079,71,8,0,3.8,4.2,4.2,4.0,1.8,2.2
Warehouse,Level 1,0,3,6,0.4,0.48,4,117,10,0,1,medium,5,4,1,1,2,1587,88,7,0,3.8,2.4,4.2,2.2,1.6,2.2
IT,Manager,1,3,6,0.4,0.55,4,270,3,1,0,medium,30,2,1,2,2,2526,80,6,0,3.8,2.4,4.2,3.0,2.6,2.2
Sales,Manager,0,3,6,0.8,0.84,5,257,5,0,0,medium,7,1,1,2,1,1565,87,7,1,3.5,4.2,1.8,3.0,2.4,3.6
Human Resources,Level 2-4,0,3,6,0.8,0.93,4,233,3,0,0,medium,7,4,3,4,3,5604,79,6,0,3.5,4.2,4.2,4.8,2.6,4.2
Finance,Level 2-4,1,3,6,0.5,0.69,5,273,3,1,0,low,60,1,1,2,1,3384,76,8,0,1.8,4.2,4.2,4.8,2.4,3.0
IT,Level 2-4,1,3,6,0.8,0.7,3,123,5,0,0,medium,10,4,3,2,3,4231,77,2,0,3.5,4.2,4.2,2.2,2.8,2.2
IT,Director,1,3,6,0.8,0.72,4,154,4,0,0,medium,7,2,3,4,2,4938,71,4,0,3.5,4.2,4.2,3.8,3.2,2.2
Sales,Director,1,3,6,0.4,0.52,4,267,2,0,0,high,11,2,1,2,1,3648,76,9,0,3.8,2.4,4.2,2.8,2.8,2.6
Finance,Level 1,1,3,6,0.4,0.65,3,241,3,0,0,low,50,2,1,1,2,3074,80,10,0,1.8,4.2,4.2,2.0,2.6,3.0
Warehouse,Level 2-4,0,3,6,0.8,0.84,5,189,5,0,0,low,7,3,3,3,2,4869,70,4,0,3.5,4.2,4.2,2.5,2.8,1.8
Human Resources,Senior Manager,1,3,6,0.5,0.66,4,139,3,0,0,high,64,1,2,1,1,1415,90,10,0,1.8,4.2,4.2,4.2,1.6,2.8
Finance,Level 2-4,0,3,6,0.4,0.45,2,131,3,0,0,low,39,1,2,1,2,1671,73,9,1,3.8,2.4,1.8,4.0,2.0,2.8
Finance,Level 2-4,0,3,6,0.5,0.69,3,187,4,0,0,medium,42,2,2,1,2,3621,86,9,0,1.8,4.2,4.2,2.5,2.4,2.8
Warehouse,Manager,1,3,6,0.4,0.54,7,278,3,0,0,low,22,1,1,2,1,1946,85,6,1,3.8,2.4,1.8,2.2,2.2,1.8
Human Resources,Level 2-4,1,3,6,0.8,0.78,7,290,4,0,0,low,9,1,1,1,2,1885,89,2,1,3.5,4.2,1.8,2.2,2.6,3.0
Human Resources,Level 2-4,1,3,6,0.8,0.87,4,162,4,0,0,medium,7,4,3,2,2,5294,76,4,0,3.5,4.2,4.2,2.2,3.0,4.0
IT,Level 2-4,0,3,6,0.5,0.67,3,190,10,0,0,medium,26,1,2,1,2,3244,90,7,0,1.8,4.2,4.2,3.8,2.0,2.6
Warehouse,Level 2-4,0,3,6,0.8,0.86,5,237,5,0,0,high,2,2,1,2,2,1593,86,7,1,3.5,4.2,1.8,3.8,2.4,2.6
IT,Manager,0,3,6,0.8,0.89,3,138,2,0,0,medium,8,3,3,3,3,5714,80,2,0,3.5,4.2,4.2,3.2,2.6,3.2
Operations,Level 2-4,1,3,6,0.8,0.87,3,177,4,0,0,medium,4,1,1,2,1,1560,88,7,1,3.5,4.2,1.8,3.5,2.8,2.8
Finance,VP,1,3,6,0.4,0.45,2,135,3,0,0,low,1,2,1,2,2,1559,66,8,1,3.8,2.4,1.8,2.8,2.6,1.4
Operations,Level 2-4,0,3,6,0.4,0.56,3,146,3,0,0,low,57,2,1,2,1,1955,67,9,0,3.8,2.4,4.2,2.8,2.0,2.8
Sales,Level 1,1,3,6,0.8,0.9,4,250,5,0,0,medium,10,2,1,2,2,1026,89,9,1,3.5,4.2,1.8,2.5,2.2,2.8
Warehouse,Manager,0,3,6,0.8,0.9,4,266,5,0,0,medium,3,3,2,2,2,4578,78,1,0,3.5,4.2,4.2,3.2,3.4,4.4
Finance,Level 2-4,0,3,6,0.4,0.51,3,207,3,0,0,medium,25,2,2,1,2,2559,78,8,0,3.8,2.4,4.2,2.0,2.8,2.4
Sales,Level 2-4,0,3,6,0.4,0.45,2,143,3,0,0,low,63,1,1,2,2,1349,75,7,1,3.8,2.4,1.8,3.0,1.2,2.0
Warehouse,Senior Manager,0,3,6,0.4,0.39,2,145,3,0,0,medium,51,1,1,2,2,1649,66,10,0,3.8,2.4,4.2,3.0,2.2,3.4
Human Resources,Manager,1,3,6,0.8,0.89,5,228,4,1,0,high,7,2,4,3,2,5913,75,2,0,3.5,4.2,4.2,3.8,3.2,3.0
Sales,Level 2-4,1,3,6,0.4,0.58,4,141,3,1,0,medium,12,2,2,2,1,1672,89,6,0,3.8,2.4,4.2,4.0,2.8,3.2
Warehouse,Level 2-4,1,3,6,0.5,0.67,6,221,10,0,0,medium,42,1,2,2,2,2972,76,7,0,1.8,4.2,4.2,4.2,3.0,2.4
IT,Level 2-4,1,3,6,0.8,0.84,4,265,2,0,0,low,2,4,2,2,2,5649,76,3,0,3.5,4.2,4.2,2.8,3.2,3.8
Finance,Level 2-4,1,3,6,0.8,0.96,6,296,4,0,0,low,4,2,1,1,2,1973,90,3,1,3.5,4.6,1.8,2.8,2.6,2.6
Human Resources,Level 1,1,3,6,0.8,0.73,5,267,3,0,0,low,9,2,4,3,3,5258,80,8,0,3.5,4.2,4.2,3.0,2.4,3.6
Operations,Level 2-4,1,3,6,0.4,0.63,6,265,3,0,0,low,3,1,1,2,1,1904,89,6,1,1.8,4.2,1.8,3.0,2.8,2.0
Finance,Level 2-4,1,3,6,0.4,0.41,4,174,3,0,0,low,25,2,2,2,1,1371,87,7,0,3.8,2.4,4.2,3.8,3.8,3.0
Finance,Director,0,3,6,0.5,0.66,3,256,2,0,0,medium,55,1,1,2,2,2247,80,10,0,1.8,4.2,4.2,3.0,3.2,2.8
Sales,Manager,0,3,6,0.8,0.77,5,234,3,0,0,low,6,4,3,2,3,4632,77,3,0,3.5,4.2,4.2,2.2,3.0,2.8
IT,Level 1,0,3,6,0.8,0.89,3,242,3,0,0,medium,8,3,2,2,2,5915,78,8,0,3.5,4.2,4.2,3.0,3.4,3.4
Warehouse,Manager,1,3,6,0.8,0.72,3,217,3,0,0,low,5,4,4,2,3,4077,80,2,0,3.5,4.2,4.2,3.0,2.2,3.8
Sales,Level 1,0,3,6,0.8,0.92,5,169,2,0,0,medium,4,3,2,2,4,6000,72,6,0,3.5,4.2,4.2,3.2,3.2,3.2
Warehouse,Level 1,0,3,6,0.4,0.54,3,164,7,0,0,medium,48,1,2,2,1,1226,60,9,0,3.8,2.4,4.2,2.8,2.6,2.8
Human Resources,Level 2-4,1,3,6,0.8,0.85,5,173,3,0,0,low,5,3,2,3,3,5395,79,2,0,3.5,4.2,4.2,3.0,2.6,2.6
Human Resources,Senior Manager,1,3,6,0.8,0.94,6,199,4,0,0,medium,1,4,2,3,2,5204,76,4,0,3.5,4.2,4.2,2.8,3.2,3.2
Finance,Level 2-4,0,3,6,0.4,0.53,3,153,3,0,0,low,56,2,1,2,1,1367,69,9,0,3.8,2.4,4.2,3.2,2.8,2.2
Sales,Level 2-4,0,3,6,0.8,0.97,5,130,4,0,0,high,9,4,4,2,2,4946,76,8,0,3.5,4.6,4.2,3.2,3.2,2.2
Sales,Senior Manager,1,3,6,0.5,0.69,3,194,4,0,0,medium,21,2,1,2,2,2695,87,6,0,1.8,4.2,4.2,3.2,2.6,2.6
Operations,Level 1,0,3,6,0.8,0.8,4,239,3,0,0,low,4,3,2,2,2,4756,79,5,0,3.5,4.2,4.2,2.5,1.8,2.4
Sales,Manager,0,3,6,0.4,0.6,5,278,2,0,0,low,17,2,1,1,2,2493,77,7,0,3.8,4.2,4.2,3.0,2.4,1.6
Human Resources,Level 1,0,3,6,0.4,0.39,3,261,3,0,0,medium,57,2,1,1,2,2730,75,10,0,3.8,2.4,4.2,2.0,2.0,2.4
Warehouse,Level 2-4,1,3,6,0.4,0.56,2,158,3,0,0,low,50,1,1,2,1,1917,63,8,1,3.8,2.4,1.8,2.2,2.0,2.4
Warehouse,Manager,0,3,6,0.4,0.59,2,257,4,1,0,medium,52,2,2,1,2,2073,75,6,0,3.8,2.4,4.2,2.2,2.8,2.2
Operations,Manager,0,3,6,0.4,0.53,2,140,3,0,0,low,34,2,1,2,1,1754,61,9,1,3.8,2.4,1.8,3.2,2.8,3.8
IT,Level 2-4,0,3,6,0.8,1.0,3,272,2,0,0,medium,6,3,2,4,3,4652,79,4,0,0.0,4.6,4.2,2.2,2.6,2.8
Warehouse,Manager,1,3,6,0.4,0.48,2,161,3,0,0,low,14,1,1,1,1,1327,71,8,1,3.8,2.4,1.8,2.2,1.6,2.4
Finance,Level 2-4,1,3,6,0.4,0.5,2,142,3,0,0,medium,64,2,2,1,1,8248,74,6,1,3.8,2.4,1.8,3.8,2.8,1.8
Finance,Level 2-4,1,3,6,0.8,0.91,3,241,2,0,0,high,2,4,3,3,2,4836,80,9,0,3.5,4.2,4.2,2.2,3.0,2.8
Operations,Level 1,0,3,6,0.4,0.6,3,210,2,0,0,low,52,1,1,1,1,2444,79,7,0,3.8,4.2,4.2,2.8,2.8,3.0
Human Resources,Senior Director,1,3,6,0.8,0.96,6,281,4,0,0,medium,5,1,1,2,1,1484,89,4,1,3.5,4.2,1.8,3.8,2.2,3.4
Finance,Level 2-4,0,3,6,0.4,0.46,2,150,3,0,0,medium,4,1,1,1,1,6081,75,9,1,3.8,2.4,1.8,3.5,3.0,2.2
Finance,Senior Manager,1,3,6,0.8,0.92,5,258,3,0,0,high,3,3,3,3,2,4908,77,1,0,3.5,4.2,4.2,2.2,2.4,2.4
