EMP_Sat_OnPrem_mean,last_evaluation,Emp_Identity,Emp_Position,LinkedIn_Hits,number_project,Sensor_Proximity(1-highest/10-lowest),EMP_Engagement_mean,Sensor_Heartbeat(Average/Min),Percent_Remote,average_montly_hours,Emp_Role,time_spend_company,Emp_Title,EMP_Sat_Remote_mean,Emp_Competitive_mean,Sensor_StepCount,promotion_last_5years,left_Company,Work_accident
1.8,0.67,1,1,26,3,7,4.2,90,0.5,190,2,10,2,4.2,2.0,3244,0,0,0
3.5,0.86,2,2,2,5,7,1.8,86,0.8,237,1,5,2,4.2,2.4,1593,0,1,0
3.5,0.89,3,3,8,3,2,4.2,80,0.8,138,3,2,3,4.2,2.6,5714,0,0,0
3.5,0.87,1,2,4,3,7,1.8,88,0.8,177,1,4,1,4.2,2.8,1560,0,1,0
3.8,0.45,2,2,1,2,8,1.8,66,0.4,135,1,3,2,2.4,2.6,1559,0,1,0
3.8,0.56,2,2,57,3,9,4.2,67,0.4,146,1,3,1,2.4,2.0,1955,0,0,0
3.5,0.9,2,2,10,4,9,1.8,89,0.8,250,1,5,2,4.2,2.2,1026,0,1,0
3.5,0.9,3,2,3,4,1,4.2,78,0.8,266,2,5,2,4.2,3.4,4578,0,0,0
3.8,0.51,2,1,25,3,8,4.2,78,0.4,207,2,3,2,2.4,2.8,2559,0,0,0
3.8,0.45,1,2,63,2,7,1.8,75,0.4,143,1,3,2,2.4,1.2,1349,0,1,0
3.8,0.39,1,2,51,2,10,4.2,66,0.4,145,1,3,2,2.4,2.2,1649,0,0,0
3.5,0.89,2,3,7,5,2,4.2,75,0.8,228,4,4,2,4.2,3.2,5913,0,0,1
3.8,0.58,2,2,12,4,6,4.2,89,0.4,141,2,3,1,2.4,2.8,1672,0,0,1
1.8,0.67,1,2,42,6,7,4.2,76,0.5,221,2,10,2,4.2,3.0,2972,0,0,0
3.5,0.84,4,2,2,4,3,4.2,76,0.8,265,2,2,2,4.2,3.2,5649,0,0,0
3.5,0.96,2,1,4,6,3,1.8,90,0.8,296,1,4,2,4.6,2.6,1973,0,1,0
3.5,0.73,2,3,9,5,8,4.2,80,0.8,267,4,3,3,4.2,2.4,5258,0,0,0
1.8,0.63,1,2,3,6,6,1.8,89,0.4,265,1,3,1,4.2,2.8,1904,0,1,0
3.8,0.41,2,2,25,4,7,4.2,87,0.4,174,2,3,1,2.4,3.8,1371,0,0,0
1.8,0.66,1,2,55,3,10,4.2,80,0.5,256,1,2,2,4.2,3.2,2247,0,0,0
3.5,0.77,4,2,6,5,3,4.2,77,0.8,234,3,3,3,4.2,3.0,4632,0,0,0
3.5,0.89,3,2,8,3,8,4.2,78,0.8,242,2,3,2,4.2,3.4,5915,0,0,0
3.5,0.72,4,2,5,3,2,4.2,80,0.8,217,4,3,3,4.2,2.2,4077,0,0,0
3.5,0.92,3,2,4,5,6,4.2,72,0.8,169,2,2,4,4.2,3.2,6000,0,0,0
3.8,0.54,1,2,48,3,9,4.2,60,0.4,164,2,7,1,2.4,2.6,1226,0,0,0
3.5,0.85,3,3,5,5,2,4.2,79,0.8,173,2,3,3,4.2,2.6,5395,0,0,0
3.5,0.94,4,3,1,6,4,4.2,76,0.8,199,2,4,2,4.2,3.2,5204,0,0,0
3.8,0.53,2,2,56,3,9,4.2,69,0.4,153,1,3,1,2.4,2.8,1367,0,0,0
3.5,0.97,4,2,9,5,8,4.2,76,0.8,130,4,4,2,4.6,3.2,4946,0,0,0
1.8,0.69,2,2,21,3,6,4.2,87,0.5,194,1,4,2,4.2,2.6,2695,0,0,0
3.5,0.8,3,2,4,4,5,4.2,79,0.8,239,2,3,2,4.2,1.8,4756,0,0,0
3.8,0.6,2,1,17,5,7,4.2,77,0.4,278,1,2,2,4.2,2.4,2493,0,0,0
3.8,0.39,2,1,57,3,10,4.2,75,0.4,261,1,3,2,2.4,2.0,2730,0,0,0
3.8,0.56,1,2,50,2,8,1.8,63,0.4,158,1,3,1,2.4,2.0,1917,0,1,0
3.8,0.59,2,1,52,2,6,4.2,75,0.4,257,2,4,2,2.4,2.8,2073,0,0,1
3.8,0.53,2,2,34,2,9,1.8,61,0.4,140,1,3,1,2.4,2.8,1754,0,1,0
0.0,1.0,3,4,6,3,4,4.2,79,0.8,272,2,2,3,4.6,2.6,4652,0,0,0
3.8,0.48,1,1,14,2,8,1.8,71,0.4,161,1,3,1,2.4,1.6,1327,0,1,0
3.8,0.5,2,1,64,2,6,1.8,74,0.4,142,2,3,1,2.4,2.8,8248,0,1,0
3.5,0.91,4,3,2,3,9,4.2,80,0.8,241,3,2,2,4.2,3.0,4836,0,0,0
3.8,0.6,1,1,52,3,7,4.2,79,0.4,210,1,2,1,4.2,2.8,2444,0,0,0
3.5,0.96,1,2,5,6,4,1.8,89,0.8,281,1,4,1,4.2,2.2,1484,0,1,0
3.8,0.46,1,1,4,2,9,1.8,75,0.4,150,1,3,1,2.4,3.0,6081,0,1,0
3.5,0.92,3,3,3,5,1,4.2,77,0.8,258,3,3,2,4.2,2.4,4908,0,0,0
1.8,0.62,2,1,59,4,6,4.2,85,0.4,161,1,2,1,4.2,1.6,1941,0,0,0
3.5,0.97,2,3,4,4,3,4.2,72,0.8,170,2,3,4,4.6,3.2,4062,0,0,0
1.8,0.69,2,1,1,5,8,4.2,86,0.5,157,1,3,1,4.2,2.0,1798,0,0,0
3.5,0.9,1,2,2,2,9,1.8,88,0.8,168,1,2,1,4.2,2.2,1227,0,1,0
3.8,0.53,1,1,24,2,7,1.8,67,0.4,152,2,3,2,2.4,2.2,8386,0,1,0
3.5,0.95,1,2,3,6,9,1.8,90,0.8,286,1,4,2,4.2,1.8,1773,0,1,0
3.5,0.92,2,2,3,4,6,1.8,89,0.8,234,1,5,1,4.2,3.0,1469,0,1,0
1.8,0.66,1,1,40,5,9,4.2,76,0.5,281,2,4,2,4.2,2.2,3381,0,0,1
3.8,0.58,2,2,59,4,9,4.2,87,0.4,133,1,3,2,2.4,3.0,1092,0,0,0
1.8,0.67,2,1,63,5,6,4.2,79,0.5,222,1,4,2,4.2,2.4,3506,0,0,0
1.8,0.66,2,2,16,2,10,4.2,69,0.5,111,1,3,2,4.2,1.8,1882,0,0,0
3.8,0.51,1,2,65,5,8,4.2,78,0.4,259,1,4,1,2.4,2.6,3995,0,0,0
1.8,0.69,2,2,6,2,8,4.2,61,0.5,178,2,3,2,4.2,1.8,1184,0,0,0
3.5,0.89,1,2,1,6,7,1.8,85,0.8,282,2,4,1,4.2,3.2,1857,0,1,0
3.5,0.87,3,3,7,4,7,4.2,73,0.8,146,3,8,3,4.2,3.0,5245,0,0,1
3.5,0.82,3,2,8,5,5,4.2,78,0.8,249,2,6,2,4.2,3.4,5633,0,0,0
3.5,0.91,3,4,8,3,2,4.2,78,0.8,269,4,8,4,4.2,3.8,4462,0,0,0
3.8,0.47,1,2,24,2,9,1.8,88,0.4,248,2,2,2,2.4,3.4,1492,0,1,0
3.8,0.55,2,2,12,4,8,4.2,80,0.4,256,2,4,2,2.4,1.6,3408,0,0,0
1.8,0.68,2,2,10,4,10,4.2,90,0.5,154,1,3,1,4.2,2.6,1711,0,0,1
3.5,0.79,2,2,5,6,1,1.8,88,0.8,275,1,4,1,4.2,2.4,1228,0,1,0
3.5,0.83,3,2,9,4,8,4.2,80,0.8,280,4,4,2,4.2,2.8,5288,0,0,1
3.5,0.88,3,2,6,5,6,4.2,77,0.8,199,2,5,3,4.2,2.0,4417,0,0,1
3.5,0.98,3,3,8,2,9,4.2,76,0.8,235,4,3,3,4.6,2.8,4522,0,0,0
3.5,0.72,2,3,9,4,1,4.2,75,0.8,271,2,3,2,4.2,2.2,4085,0,0,0
3.5,0.98,2,3,5,4,7,4.2,80,0.8,207,3,3,3,4.6,3.4,4702,0,0,0
3.5,0.76,3,2,1,4,5,4.2,73,0.8,144,3,3,3,4.2,4.0,5881,0,0,1
3.5,0.92,4,4,9,3,3,4.2,77,0.8,150,2,2,4,4.2,2.0,4100,0,0,0
3.5,0.93,2,1,6,6,9,1.8,87,0.8,276,2,4,1,4.2,2.2,1670,0,1,0
3.5,0.93,3,2,9,4,4,4.2,79,0.8,185,3,5,2,4.2,3.4,5648,0,0,0
3.5,0.73,3,3,7,4,2,4.2,75,0.8,208,4,5,2,4.2,2.6,5833,0,0,0
3.5,0.83,2,2,7,3,3,4.2,77,0.8,271,2,2,2,4.2,2.8,4958,0,0,0
3.5,0.9,1,1,5,5,3,1.8,89,0.8,256,1,5,2,4.2,2.8,1970,0,1,0
3.5,0.91,3,2,6,3,8,4.2,75,0.8,244,4,3,2,4.2,3.0,4062,0,0,0
3.8,0.52,1,1,23,5,8,4.2,79,0.4,236,2,4,1,2.4,3.0,2401,0,0,0
3.5,0.99,3,2,8,5,8,4.2,80,0.8,228,3,4,2,4.6,2.0,4831,0,0,1
3.5,0.98,2,3,2,3,2,4.2,80,0.8,215,3,2,2,4.6,2.2,5661,0,0,0
3.8,0.59,2,2,55,3,8,4.2,77,0.4,281,2,2,2,2.4,2.2,3047,0,0,0
3.8,0.49,2,2,53,2,7,1.8,62,0.4,130,2,3,1,2.4,2.0,1243,0,1,0
3.5,0.73,4,3,7,2,5,4.2,79,0.8,230,3,3,3,4.2,3.4,4889,0,0,0
3.5,1.0,1,2,3,5,8,1.8,89,0.8,242,2,5,1,4.6,2.0,1276,0,1,0
3.8,0.38,1,1,15,2,9,4.2,64,0.4,103,2,3,1,2.4,2.2,1042,0,0,0
3.8,0.54,2,2,56,3,7,4.2,79,0.4,232,2,2,2,2.4,3.4,3822,0,0,0
3.5,0.77,1,2,6,5,3,1.8,85,0.8,275,2,4,2,4.2,3.0,1569,0,1,0
1.8,0.67,1,2,8,4,9,1.8,87,0.5,141,2,2,2,4.2,2.4,1495,0,1,0
1.8,0.64,2,2,14,2,10,4.2,69,0.4,170,1,8,1,4.2,2.8,1396,0,0,0
1.8,0.63,2,2,7,4,8,4.2,77,0.4,268,1,3,2,4.2,1.6,3622,0,0,0
3.5,0.97,3,3,6,4,7,4.2,79,0.8,264,2,3,2,4.6,3.0,5959,0,0,0
3.8,0.56,2,2,64,4,9,4.2,75,0.4,241,1,3,2,2.4,3.2,3531,0,0,0
3.8,0.55,1,1,22,5,6,4.2,87,0.4,174,2,3,1,2.4,2.6,1621,0,0,1
3.8,0.4,1,1,29,2,7,4.2,80,0.4,245,1,5,1,2.4,3.2,3805,0,0,0
3.8,0.54,2,2,41,6,8,4.2,88,0.4,190,1,4,1,2.4,2.6,3116,0,0,0
3.8,0.54,1,2,15,5,10,4.2,78,0.4,259,2,5,2,2.4,2.0,2457,0,0,1
3.5,0.93,1,1,7,6,2,1.8,90,0.8,308,2,4,2,4.2,2.8,1078,0,1,0
3.5,0.89,3,2,4,4,4,4.2,77,0.8,192,3,2,2,4.2,3.0,4518,0,0,0
3.5,0.9,3,3,8,4,3,4.2,80,0.8,208,2,3,3,4.2,4.0,4342,0,0,0
3.5,0.73,3,3,5,4,1,4.2,72,0.8,157,2,2,4,4.2,3.2,5647,0,0,0
3.5,0.89,4,2,4,4,9,4.2,79,0.8,153,4,7,4,4.2,3.8,5761,0,0,0
3.5,0.98,3,4,1,4,8,4.2,78,0.8,160,3,2,2,4.6,3.0,5741,0,0,0
3.5,0.82,2,2,10,3,2,4.2,79,0.8,284,3,2,2,4.2,3.6,5619,0,0,1
3.5,0.82,2,3,9,3,4,4.2,77,0.8,203,3,2,3,4.2,2.4,5735,0,0,0
3.5,0.88,4,4,10,5,3,4.2,80,0.8,238,2,6,3,4.2,3.0,5508,0,0,0
1.8,0.69,2,1,16,4,6,4.2,87,0.5,187,1,5,1,4.2,2.8,3781,0,0,0
3.5,0.94,2,2,8,6,1,1.8,87,0.8,266,1,4,2,4.2,3.4,1547,0,1,0
3.5,0.87,2,2,1,6,1,1.8,88,0.8,264,2,4,1,4.2,2.0,1273,0,1,0
3.5,0.7,2,2,7,3,4,4.2,77,0.8,153,2,10,3,4.2,2.6,5305,0,0,0
3.8,0.58,2,2,31,4,9,4.2,79,0.4,273,2,4,2,2.4,2.2,2373,0,0,0
1.8,0.64,2,2,54,4,8,4.2,75,0.4,227,1,3,2,4.2,2.4,3972,0,0,0
3.5,0.71,4,2,4,4,6,4.2,80,0.8,145,2,3,2,4.2,2.6,5122,1,0,1
3.5,0.92,3,3,3,5,2,4.2,70,0.8,176,2,3,2,4.2,3.2,5919,0,0,0
3.5,0.94,1,1,7,4,6,1.8,89,0.8,258,2,5,2,4.2,2.0,1261,0,1,0
3.5,0.75,2,3,6,4,4,4.2,71,0.8,151,4,2,4,4.2,2.6,4987,0,0,0
1.8,0.62,2,1,53,5,7,4.2,87,0.4,167,2,3,2,4.2,2.2,1564,0,0,0
3.8,0.49,1,2,49,3,8,4.2,77,0.4,253,1,3,2,2.4,2.0,2886,0,0,0
3.8,0.5,2,2,36,2,9,1.8,61,0.4,143,1,3,1,2.4,2.2,1155,0,1,0
3.5,0.98,3,3,10,4,4,4.2,75,0.8,258,2,3,2,4.6,2.2,4906,0,0,0
3.8,0.48,2,2,62,2,8,1.8,65,0.4,143,1,3,1,2.4,1.6,1799,0,1,0
1.8,0.69,1,1,6,5,9,4.2,85,0.5,145,1,2,1,4.2,1.8,1965,0,0,0
3.5,0.75,4,3,2,3,2,4.2,80,0.8,156,4,3,4,4.2,3.0,4681,0,0,0
3.8,0.6,2,1,9,2,9,4.2,63,0.4,113,2,5,2,4.2,2.2,1957,0,0,0
3.8,0.51,2,2,53,2,7,1.8,73,0.4,145,2,3,1,2.4,2.8,1522,0,1,0
3.8,0.55,1,2,55,4,7,4.2,76,0.4,211,2,3,2,2.4,3.0,2985,0,0,0
3.5,0.87,1,2,6,4,9,1.8,85,0.8,228,1,5,1,4.2,1.6,1853,0,1,0
3.5,0.98,4,3,2,4,2,4.2,72,0.8,170,4,3,2,4.6,2.2,5671,0,0,0
3.5,0.75,3,3,10,3,5,4.2,79,0.8,232,4,3,2,4.2,2.0,5333,0,0,0
3.5,0.77,2,3,5,4,4,4.2,80,0.8,167,3,3,3,4.2,3.6,5791,0,0,1
3.8,0.58,1,1,43,3,7,4.2,67,0.4,152,1,3,2,2.4,1.4,1282,0,0,1
3.8,0.52,1,1,17,4,9,4.2,86,0.4,198,1,3,2,2.4,2.0,3130,0,0,0
