EMP_Sat_OnPrem_mean,Emp_Identity,Emp_Position,number_project,EMP_Engagement_mean,Sensor_Heartbeat(Average/Min),average_montly_hours,Emp_Role,time_spend_company,Emp_Title,EMP_Sat_Remote_mean,Emp_Competitive_mean,Sensor_StepCount,left_Company,salary,Work_accident
3.8,1,1,2,1.8,62,135,2,3,1,2.4,2.4,1535,1,low,0
3.8,1,1,4,4.2,75,266,2,3,2,2.4,2.0,3775,0,low,0
3.5,3,4,3,4.2,75,240,3,7,3,4.2,4.4,5525,0,medium,0
3.5,2,2,5,1.8,87,218,1,5,2,4.6,2.8,1433,1,medium,0
3.5,4,3,5,4.2,80,271,4,4,3,4.2,3.2,4305,0,high,0
3.8,2,1,3,4.2,79,262,1,5,1,2.4,2.0,2451,0,medium,0
3.5,2,2,4,1.8,85,226,2,5,2,4.2,2.2,1723,1,medium,0
3.8,1,2,5,4.2,79,255,2,5,1,2.4,2.4,3598,0,low,1
1.8,1,1,4,4.2,78,217,2,2,2,4.2,2.8,2138,0,medium,0
3.8,2,2,3,4.2,79,268,2,3,2,2.4,2.0,2648,0,low,0
3.5,4,2,4,4.2,70,180,2,4,4,4.2,2.2,4329,0,medium,0
3.5,2,2,4,4.2,80,237,3,5,3,4.6,3.4,4917,0,medium,0
1.8,2,2,5,4.2,80,203,1,2,2,4.2,2.6,3531,0,low,0
3.5,3,3,4,4.2,79,214,3,2,2,4.2,2.0,4512,0,low,1
3.8,2,1,2,1.8,73,151,2,3,1,2.4,2.8,1562,1,low,1
3.8,1,2,2,1.8,75,127,2,3,2,2.4,3.6,1561,1,low,1
3.8,2,2,2,1.8,75,150,1,3,1,2.4,2.0,1492,1,low,1
3.8,1,2,4,4.2,75,210,2,3,2,2.4,2.2,2372,0,low,0
3.8,2,1,2,1.8,67,131,1,3,1,2.4,3.0,1512,1,low,0
3.5,3,3,5,4.2,75,137,4,3,3,4.2,3.2,4641,0,medium,0
3.8,2,2,4,4.2,86,128,2,4,1,2.4,1.6,1940,0,medium,0
1.8,2,1,5,4.2,78,229,2,2,2,4.2,2.6,3844,0,medium,0
3.8,1,1,4,4.2,86,198,2,3,2,2.4,2.2,3709,0,low,0
3.8,2,2,4,4.2,89,178,1,3,1,2.4,3.0,1273,0,medium,0
3.8,1,1,5,4.2,80,254,1,5,2,4.2,2.6,2039,0,low,0
3.5,3,3,4,4.2,74,113,4,3,4,4.2,3.6,4053,0,medium,0
1.8,1,1,3,4.2,65,147,1,3,1,4.2,1.6,1307,0,low,0
3.8,2,1,2,4.2,64,150,1,6,2,2.4,1.6,1481,0,low,0
3.5,4,2,5,4.2,79,266,4,3,3,4.2,3.8,5260,0,low,0
0.0,1,1,5,1.8,88,229,1,5,2,4.6,2.6,1951,1,low,0
3.5,4,2,3,4.2,79,226,3,2,4,4.2,2.0,4946,0,medium,0
3.5,2,3,6,4.2,75,144,4,4,3,4.2,2.4,4631,0,low,0
3.5,3,3,4,4.2,75,181,3,3,2,4.2,3.4,5964,0,medium,0
1.8,2,2,4,4.2,77,238,1,3,2,4.2,2.6,2042,0,low,0
3.5,3,2,6,4.2,78,248,3,3,2,4.2,2.8,5709,0,low,0
1.8,2,1,2,4.2,75,211,2,3,1,4.2,2.2,3296,0,medium,0
3.5,3,3,3,4.2,80,268,2,4,3,4.2,3.6,4415,0,low,0
3.5,2,3,6,4.2,78,141,3,3,3,4.2,3.2,5031,0,medium,1
3.5,4,3,5,4.2,72,158,2,2,2,4.2,3.0,5736,0,low,0
1.8,1,2,5,4.2,86,133,2,10,1,4.2,2.6,1674,0,medium,0
1.8,2,1,3,4.2,88,195,2,3,2,4.2,2.6,2439,0,medium,0
3.5,4,3,3,4.2,76,263,3,3,4,4.6,3.4,4616,0,medium,0
3.8,2,1,5,4.2,76,273,2,2,2,2.4,2.8,2796,0,medium,0
3.8,2,1,3,4.2,86,188,1,3,1,4.2,2.4,3206,0,high,0
3.5,2,2,6,4.2,78,183,2,4,4,4.2,3.6,4842,0,medium,0
3.5,1,2,7,1.8,86,281,2,4,2,4.2,3.0,1235,1,low,0
3.5,5,5,3,4.2,76,206,5,3,3,4.2,3.8,4022,0,high,1
3.8,1,2,4,4.2,79,272,2,3,1,2.4,3.0,3537,0,low,0
3.5,2,1,6,1.8,85,284,2,4,2,4.2,3.0,1436,1,low,0
3.5,2,2,4,4.2,78,225,3,5,3,4.2,2.6,5060,0,low,0
3.5,1,2,6,1.8,89,304,1,4,1,4.2,1.8,1392,1,low,0
3.5,2,2,4,1.8,89,229,1,5,2,4.2,3.0,1049,1,low,0
3.5,2,4,4,4.2,80,184,2,7,2,4.2,3.8,5920,0,medium,0
3.5,1,1,2,1.8,86,198,2,2,1,4.2,1.6,1913,1,medium,0
3.5,2,3,2,4.2,70,173,2,3,2,4.2,3.8,4736,0,low,0
3.5,4,2,4,4.2,75,250,3,3,2,4.2,2.8,4316,0,low,0
3.8,1,2,2,1.8,66,151,2,3,2,2.4,2.0,7148,1,medium,0
3.8,1,1,6,4.2,76,246,2,4,1,2.4,3.4,2846,0,medium,0
3.5,1,1,5,1.8,88,258,1,5,1,4.2,1.8,1665,1,low,0
3.5,1,2,6,1.8,86,279,2,4,2,4.2,2.6,1241,1,low,0
1.8,1,2,4,4.2,88,150,2,3,1,4.2,1.8,1193,0,low,0
3.5,3,3,3,4.2,78,249,3,2,3,4.2,2.2,5572,0,low,0
3.8,1,1,5,4.2,90,169,1,3,2,2.4,2.2,1285,0,low,0
3.8,1,2,4,4.2,75,269,1,3,1,2.4,2.0,3583,0,high,0
1.8,1,2,3,4.2,75,264,2,2,2,4.2,1.8,2021,0,medium,0
3.8,1,2,2,4.2,71,163,1,3,1,4.2,1.8,1079,0,medium,0
3.8,4,1,4,4.2,88,117,1,10,2,2.4,1.6,1587,0,medium,0
3.8,2,2,4,4.2,80,270,1,3,2,2.4,2.6,2526,0,medium,1
3.5,1,2,5,1.8,87,257,1,5,1,4.2,2.4,1565,1,medium,0
3.5,4,4,4,4.2,79,233,3,3,3,4.2,2.6,5604,0,medium,0
1.8,1,2,5,4.2,76,273,1,3,1,4.2,2.4,3384,0,low,1
3.5,4,2,3,4.2,77,123,3,5,3,4.2,2.8,4231,0,medium,0
3.5,2,4,4,4.2,71,154,3,4,2,4.2,3.2,4938,0,medium,0
3.8,2,2,4,4.2,76,267,1,2,1,2.4,2.8,3648,0,high,0
1.8,2,1,3,4.2,80,241,1,3,2,4.2,2.6,3074,0,low,0
3.5,3,3,5,4.2,70,189,3,5,2,4.2,2.8,4869,0,low,0
1.8,1,1,4,4.2,90,139,2,3,1,4.2,1.6,1415,0,high,0
3.8,1,1,2,1.8,73,131,2,3,2,2.4,2.0,1671,1,low,0
1.8,2,1,3,4.2,86,187,2,4,2,4.2,2.4,3621,0,medium,0
3.8,1,2,7,1.8,85,278,1,3,1,2.4,2.2,1946,1,low,0
3.5,1,1,7,1.8,89,290,1,4,2,4.2,2.6,1885,1,low,0
3.5,4,2,4,4.2,76,162,3,4,2,4.2,3.0,5294,0,medium,0
1.8,1,1,3,4.2,90,190,2,10,2,4.2,2.0,3244,0,medium,0
3.5,2,2,5,1.8,86,237,1,5,2,4.2,2.4,1593,1,high,0
3.5,3,3,3,4.2,80,138,3,2,3,4.2,2.6,5714,0,medium,0
3.5,1,2,3,1.8,88,177,1,4,1,4.2,2.8,1560,1,medium,0
3.8,2,2,2,1.8,66,135,1,3,2,2.4,2.6,1559,1,low,0
3.8,2,2,3,4.2,67,146,1,3,1,2.4,2.0,1955,0,low,0
3.5,2,2,4,1.8,89,250,1,5,2,4.2,2.2,1026,1,medium,0
3.5,3,2,4,4.2,78,266,2,5,2,4.2,3.4,4578,0,medium,0
3.8,2,1,3,4.2,78,207,2,3,2,2.4,2.8,2559,0,medium,0
3.8,1,2,2,1.8,75,143,1,3,2,2.4,1.2,1349,1,low,0
3.8,1,2,2,4.2,66,145,1,3,2,2.4,2.2,1649,0,medium,0
3.5,2,3,5,4.2,75,228,4,4,2,4.2,3.2,5913,0,high,1
3.8,2,2,4,4.2,89,141,2,3,1,2.4,2.8,1672,0,medium,1
1.8,1,2,6,4.2,76,221,2,10,2,4.2,3.0,2972,0,medium,0
3.5,4,2,4,4.2,76,265,2,2,2,4.2,3.2,5649,0,low,0
3.5,2,1,6,1.8,90,296,1,4,2,4.6,2.6,1973,1,low,0
3.5,2,3,5,4.2,80,267,4,3,3,4.2,2.4,5258,0,low,0
1.8,1,2,6,1.8,89,265,1,3,1,4.2,2.8,1904,1,low,0
3.8,2,2,4,4.2,87,174,2,3,1,2.4,3.8,1371,0,low,0
1.8,1,2,3,4.2,80,256,1,2,2,4.2,3.2,2247,0,medium,0
3.5,4,2,5,4.2,77,234,3,3,3,4.2,3.0,4632,0,low,0
3.5,3,2,3,4.2,78,242,2,3,2,4.2,3.4,5915,0,medium,0
3.5,4,2,3,4.2,80,217,4,3,3,4.2,2.2,4077,0,low,0
3.5,3,2,5,4.2,72,169,2,2,4,4.2,3.2,6000,0,medium,0
3.8,1,2,3,4.2,60,164,2,7,1,2.4,2.6,1226,0,medium,0
3.5,3,3,5,4.2,79,173,2,3,3,4.2,2.6,5395,0,low,0
3.5,4,3,6,4.2,76,199,2,4,2,4.2,3.2,5204,0,medium,0
3.8,2,2,3,4.2,69,153,1,3,1,2.4,2.8,1367,0,low,0
3.5,4,2,5,4.2,76,130,4,4,2,4.6,3.2,4946,0,high,0
1.8,2,2,3,4.2,87,194,1,4,2,4.2,2.6,2695,0,medium,0
3.5,3,2,4,4.2,79,239,2,3,2,4.2,1.8,4756,0,low,0
3.8,2,1,5,4.2,77,278,1,2,2,4.2,2.4,2493,0,low,0
3.8,2,1,3,4.2,75,261,1,3,2,2.4,2.0,2730,0,medium,0
3.8,1,2,2,1.8,63,158,1,3,1,2.4,2.0,1917,1,low,0
3.8,2,1,2,4.2,75,257,2,4,2,2.4,2.8,2073,0,medium,1
3.8,2,2,2,1.8,61,140,1,3,1,2.4,2.8,1754,1,low,0
0.0,3,4,3,4.2,79,272,2,2,3,4.6,2.6,4652,0,medium,0
3.8,1,1,2,1.8,71,161,1,3,1,2.4,1.6,1327,1,low,0
3.8,2,1,2,1.8,74,142,2,3,1,2.4,2.8,8248,1,medium,0
3.5,4,3,3,4.2,80,241,3,2,2,4.2,3.0,4836,0,high,0
3.8,1,1,3,4.2,79,210,1,2,1,4.2,2.8,2444,0,low,0
3.5,1,2,6,1.8,89,281,1,4,1,4.2,2.2,1484,1,medium,0
3.8,1,1,2,1.8,75,150,1,3,1,2.4,3.0,6081,1,medium,0
3.5,3,3,5,4.2,77,258,3,3,2,4.2,2.4,4908,0,high,0
1.8,2,1,4,4.2,85,161,1,2,1,4.2,1.6,1941,0,medium,0
3.5,2,3,4,4.2,72,170,2,3,4,4.6,3.2,4062,0,medium,0
1.8,2,1,5,4.2,86,157,1,3,1,4.2,2.0,1798,0,low,0
3.5,1,2,2,1.8,88,168,1,2,1,4.2,2.2,1227,1,medium,0
3.8,1,1,2,1.8,67,152,2,3,2,2.4,2.2,8386,1,medium,0
3.5,1,2,6,1.8,90,286,1,4,2,4.2,1.8,1773,1,medium,0
3.5,2,2,4,1.8,89,234,1,5,1,4.2,3.0,1469,1,low,0
1.8,1,1,5,4.2,76,281,2,4,2,4.2,2.2,3381,0,medium,1
3.8,2,2,4,4.2,87,133,1,3,2,2.4,3.0,1092,0,low,0
1.8,2,1,5,4.2,79,222,1,4,2,4.2,2.4,3506,0,low,0
1.8,2,2,2,4.2,69,111,1,3,2,4.2,1.8,1882,0,medium,0
3.8,1,2,5,4.2,78,259,1,4,1,2.4,2.6,3995,0,low,0
1.8,2,2,2,4.2,61,178,2,3,2,4.2,1.8,1184,0,low,0
3.5,1,2,6,1.8,85,282,2,4,1,4.2,3.2,1857,1,low,0
3.5,3,3,4,4.2,73,146,3,8,3,4.2,3.0,5245,0,low,1
3.5,3,2,5,4.2,78,249,2,6,2,4.2,3.4,5633,0,low,0
3.5,3,4,3,4.2,78,269,4,8,4,4.2,3.8,4462,0,medium,0
3.8,1,2,2,1.8,88,248,2,2,2,2.4,3.4,1492,1,medium,0
3.8,2,2,4,4.2,80,256,2,4,2,2.4,1.6,3408,0,medium,0
1.8,2,2,4,4.2,90,154,1,3,1,4.2,2.6,1711,0,medium,1
3.5,2,2,6,1.8,88,275,1,4,1,4.2,2.4,1228,1,low,0
3.5,3,2,4,4.2,80,280,4,4,2,4.2,2.8,5288,0,low,1
3.5,3,2,5,4.2,77,199,2,5,3,4.2,2.0,4417,0,medium,1
3.5,3,3,2,4.2,76,235,4,3,3,4.6,2.8,4522,0,high,0
3.5,2,3,4,4.2,75,271,2,3,2,4.2,2.2,4085,0,low,0
3.5,2,3,4,4.2,80,207,3,3,3,4.6,3.4,4702,0,medium,0
3.5,3,2,4,4.2,73,144,3,3,3,4.2,4.0,5881,0,low,1
3.5,4,4,3,4.2,77,150,2,2,4,4.2,2.0,4100,0,medium,0
3.5,2,1,6,1.8,87,276,2,4,1,4.2,2.2,1670,1,low,0
3.5,3,2,4,4.2,79,185,3,5,2,4.2,3.4,5648,0,low,0
3.5,3,3,4,4.2,75,208,4,5,2,4.2,2.6,5833,0,low,0
3.5,2,2,3,4.2,77,271,2,2,2,4.2,2.8,4958,0,medium,0
3.5,1,1,5,1.8,89,256,1,5,2,4.2,2.8,1970,1,low,0
3.5,3,2,3,4.2,75,244,4,3,2,4.2,3.0,4062,0,medium,0
3.8,1,1,5,4.2,79,236,2,4,1,2.4,3.0,2401,0,low,0
3.5,3,2,5,4.2,80,228,3,4,2,4.6,2.0,4831,0,low,1
3.5,2,3,3,4.2,80,215,3,2,2,4.6,2.2,5661,0,low,0
3.8,2,2,3,4.2,77,281,2,2,2,2.4,2.2,3047,0,medium,0
3.8,2,2,2,1.8,62,130,2,3,1,2.4,2.0,1243,1,low,0
3.5,4,3,2,4.2,79,230,3,3,3,4.2,3.4,4889,0,low,0
3.5,1,2,5,1.8,89,242,2,5,1,4.6,2.0,1276,1,low,0
3.8,1,1,2,4.2,64,103,2,3,1,2.4,2.2,1042,0,medium,0
3.8,2,2,3,4.2,79,232,2,2,2,2.4,3.4,3822,0,low,0
3.5,1,2,5,1.8,85,275,2,4,2,4.2,3.0,1569,1,medium,0
1.8,1,2,4,1.8,87,141,2,2,2,4.2,2.4,1495,1,low,0
1.8,2,2,2,4.2,69,170,1,8,1,4.2,2.8,1396,0,low,0
1.8,2,2,4,4.2,77,268,1,3,2,4.2,1.6,3622,0,medium,0
3.5,3,3,4,4.2,79,264,2,3,2,4.6,3.0,5959,0,low,0
3.8,2,2,4,4.2,75,241,1,3,2,2.4,3.2,3531,0,low,0
3.8,1,1,5,4.2,87,174,2,3,1,2.4,2.6,1621,0,medium,1
3.8,1,1,2,4.2,80,245,1,5,1,2.4,3.2,3805,0,medium,0
3.8,2,2,6,4.2,88,190,1,4,1,2.4,2.6,3116,0,low,0
3.8,1,2,5,4.2,78,259,2,5,2,2.4,2.0,2457,0,medium,1
3.5,1,1,6,1.8,90,308,2,4,2,4.2,2.8,1078,1,low,0
3.5,3,2,4,4.2,77,192,3,2,2,4.2,3.0,4518,0,high,0
3.5,3,3,4,4.2,80,208,2,3,3,4.2,4.0,4342,0,low,0
3.5,3,3,4,4.2,72,157,2,2,4,4.2,3.2,5647,0,medium,0
3.5,4,2,4,4.2,79,153,4,7,4,4.2,3.8,5761,0,medium,0
3.5,3,4,4,4.2,78,160,3,2,2,4.6,3.0,5741,0,medium,0
3.5,2,2,3,4.2,79,284,3,2,2,4.2,3.6,5619,0,low,1
3.5,2,3,3,4.2,77,203,3,2,3,4.2,2.4,5735,0,low,0
3.5,4,4,5,4.2,80,238,2,6,3,4.2,3.0,5508,0,medium,0
1.8,2,1,4,4.2,87,187,1,5,1,4.2,2.8,3781,0,medium,0
3.5,2,2,6,1.8,87,266,1,4,2,4.2,3.4,1547,1,medium,0
3.5,2,2,6,1.8,88,264,2,4,1,4.2,2.0,1273,1,medium,0
3.5,2,2,3,4.2,77,153,2,10,3,4.2,2.6,5305,0,high,0
3.8,2,2,4,4.2,79,273,2,4,2,2.4,2.2,2373,0,medium,0
1.8,2,2,4,4.2,75,227,1,3,2,4.2,2.4,3972,0,low,0
3.5,4,2,4,4.2,80,145,2,3,2,4.2,2.6,5122,0,medium,1
3.5,3,3,5,4.2,70,176,2,3,2,4.2,3.2,5919,0,low,0
3.5,1,1,4,1.8,89,258,2,5,2,4.2,2.0,1261,1,low,0
3.5,2,3,4,4.2,71,151,4,2,4,4.2,2.6,4987,0,medium,0
1.8,2,1,5,4.2,87,167,2,3,2,4.2,2.2,1564,0,low,0
3.8,1,2,3,4.2,77,253,1,3,2,2.4,2.0,2886,0,low,0
3.8,2,2,2,1.8,61,143,1,3,1,2.4,2.2,1155,1,low,0
3.5,3,3,4,4.2,75,258,2,3,2,4.6,2.2,4906,0,low,0
3.8,2,2,2,1.8,65,143,1,3,1,2.4,1.6,1799,1,low,0
1.8,1,1,5,4.2,85,145,1,2,1,4.2,1.8,1965,0,medium,0
3.5,4,3,3,4.2,80,156,4,3,4,4.2,3.0,4681,0,medium,0
3.8,2,1,2,4.2,63,113,2,5,2,4.2,2.2,1957,0,low,0
3.8,2,2,2,1.8,73,145,2,3,1,2.4,2.8,1522,1,low,0
3.8,1,2,4,4.2,76,211,2,3,2,2.4,3.0,2985,0,medium,0
3.5,1,2,4,1.8,85,228,1,5,1,4.2,1.6,1853,1,low,0
3.5,4,3,4,4.2,72,170,4,3,2,4.6,2.2,5671,0,low,0
3.5,3,3,3,4.2,79,232,4,3,2,4.2,2.0,5333,0,low,0
3.5,2,3,4,4.2,80,167,3,3,3,4.2,3.6,5791,0,medium,1
3.8,1,1,3,4.2,67,152,1,3,2,2.4,1.4,1282,0,low,1
3.8,1,1,4,4.2,86,198,1,3,2,2.4,2.0,3130,0,medium,0
3.5,2,2,4,4.2,76,261,4,2,3,4.2,3.2,4158,0,medium,0
3.5,3,2,4,4.2,70,176,3,2,2,4.2,3.2,5793,0,medium,0
3.5,5,2,4,4.2,77,211,2,2,2,4.6,2.4,5473,0,low,0
3.8,1,2,3,1.8,88,226,2,2,1,2.4,2.8,1043,1,medium,0
3.5,3,3,5,4.2,79,128,2,3,3,4.2,2.6,5143,0,low,1
3.5,2,2,5,4.2,78,117,2,3,4,4.2,3.4,5332,0,medium,0
3.8,1,1,2,1.8,72,158,2,3,1,2.4,1.8,1334,1,low,0
3.5,2,1,6,1.8,88,249,1,4,2,4.2,2.6,1516,1,low,0
3.5,4,3,3,4.2,75,236,2,3,3,4.2,2.2,5341,0,medium,0
3.5,3,2,3,4.2,77,227,2,3,2,4.2,4.0,4892,0,high,1
1.8,2,2,3,4.2,70,171,1,3,1,4.2,2.6,1300,0,medium,0
3.8,1,2,2,1.8,60,155,2,3,2,2.4,3.0,1864,1,low,0
3.8,1,2,4,4.2,85,183,2,3,1,2.4,2.2,2741,0,low,0
1.8,2,1,3,4.2,70,161,1,3,2,4.2,2.2,1920,0,low,0
3.8,1,1,4,4.2,89,153,2,3,2,2.4,3.0,1797,0,low,0
3.5,2,3,4,4.2,78,140,4,3,3,4.2,3.4,5383,0,low,0
3.5,4,3,4,4.2,80,206,4,3,4,4.2,3.6,5785,0,medium,0
3.8,1,1,2,1.8,63,127,2,3,1,2.4,2.2,6432,1,medium,0
3.8,1,2,6,4.2,86,132,2,2,1,2.4,2.2,1787,0,medium,0
3.8,1,2,3,4.2,80,224,1,3,1,2.4,2.2,3036,0,low,0
1.8,2,2,3,4.2,89,193,1,2,2,4.2,2.6,2581,0,low,0
0.0,1,2,5,1.8,86,251,2,6,2,4.6,2.2,1196,1,low,0
3.5,4,4,4,4.2,78,224,2,3,3,4.2,3.0,5283,0,medium,0
3.5,3,3,4,4.2,76,218,3,2,3,4.2,3.6,4597,0,low,0
3.5,2,2,5,4.2,77,269,2,2,4,4.2,2.4,5962,0,medium,0
3.5,4,2,5,4.2,75,195,4,4,2,4.2,2.2,4393,0,low,0
3.8,1,1,2,1.8,65,151,2,3,1,2.4,1.8,1759,1,low,0
3.5,4,3,4,4.2,79,208,3,3,2,4.2,3.0,4919,0,low,1
3.5,4,3,3,4.2,78,286,3,6,2,4.6,2.2,4777,0,high,0
3.8,1,2,3,4.2,78,236,1,5,1,2.4,2.4,3341,0,medium,0
3.5,4,3,3,4.2,79,222,4,3,4,4.2,3.0,4068,0,medium,0
1.8,2,1,6,4.2,85,181,1,4,1,4.2,1.8,3003,0,high,0
3.5,2,2,3,4.2,79,178,3,3,2,4.2,3.6,5396,0,low,0
1.8,1,2,4,4.2,90,174,1,2,2,4.2,2.2,1577,0,low,0
1.8,2,1,4,4.2,76,269,1,3,2,4.2,1.6,3652,0,medium,0
3.5,3,4,5,4.2,79,249,4,3,4,4.2,3.0,5212,0,medium,0
3.8,1,2,4,4.2,80,271,2,3,2,2.4,2.6,2693,0,high,0
3.8,1,2,4,4.2,86,188,2,3,1,2.4,1.8,3031,0,low,0
1.8,1,1,4,4.2,77,220,2,2,2,4.2,2.0,2897,0,medium,0
3.8,1,2,5,4.2,80,286,2,3,1,2.4,2.4,2343,0,high,0
3.8,2,2,2,4.2,64,136,1,6,1,4.2,2.8,1213,0,low,0
3.5,4,2,4,4.2,78,201,4,3,2,4.2,3.0,5616,0,medium,1
3.5,5,3,4,4.2,79,149,2,3,3,4.2,2.8,4031,0,medium,0
3.5,3,2,4,4.2,80,165,4,5,4,4.2,2.6,4170,0,medium,0
1.8,1,2,4,4.2,89,135,1,3,2,4.2,3.0,1008,0,low,0
3.8,2,1,4,4.2,90,144,2,3,1,2.4,3.8,1238,0,medium,0
3.5,3,2,5,4.2,76,206,3,5,2,4.2,2.2,5766,0,medium,0
3.5,1,2,4,1.8,88,237,2,5,1,4.6,2.2,1978,1,low,0
1.8,1,2,5,1.8,89,180,1,5,1,4.2,2.4,1725,1,medium,0
3.5,1,2,6,1.8,90,255,1,4,1,4.2,2.8,1385,1,low,0
1.8,1,2,5,4.2,75,234,2,3,2,4.2,3.0,3340,0,medium,0
3.5,2,2,5,1.8,85,224,1,5,2,4.6,3.2,1022,1,low,0
3.8,2,2,2,1.8,69,139,2,3,2,2.4,2.4,1987,1,low,0
3.8,1,2,4,4.2,88,100,1,4,1,2.4,3.2,1283,0,low,1
3.5,2,1,5,1.8,87,267,2,6,1,4.2,2.8,1803,1,low,0
3.5,2,3,4,4.2,89,200,3,2,2,4.2,3.2,4808,0,low,0
3.5,3,3,3,4.2,77,262,2,2,3,4.2,2.8,5032,0,medium,0
1.8,2,1,5,4.2,88,148,2,3,1,4.2,2.2,1099,0,medium,0
3.8,2,2,5,4.2,78,256,2,3,2,2.4,2.6,3996,0,medium,0
3.8,1,2,4,4.2,75,241,2,6,1,2.4,2.8,3052,0,medium,0
3.5,2,2,3,4.2,78,203,4,2,3,4.2,2.6,4647,0,low,0
3.5,3,4,3,4.2,80,265,4,3,4,4.2,4.0,5980,0,medium,0
1.8,1,2,3,4.2,62,138,2,2,1,4.2,1.6,1117,0,medium,0
3.5,2,2,3,4.2,79,160,3,3,3,4.2,2.8,5132,0,medium,0
3.5,3,2,6,4.2,78,117,4,7,4,4.2,3.0,5529,0,medium,0
3.5,3,3,3,4.2,79,271,3,2,2,4.2,2.4,4444,0,low,0
3.8,1,1,4,4.2,80,285,1,3,2,2.4,2.8,2227,0,low,0
1.8,2,1,4,4.2,89,147,1,3,2,4.2,2.6,1434,0,low,0
3.8,1,2,5,4.2,76,210,1,4,2,2.4,2.0,2589,0,medium,1
3.5,3,3,4,4.2,79,248,3,3,3,4.2,3.0,5310,0,low,0
3.5,4,4,4,4.2,76,168,2,4,2,4.2,2.6,4676,0,medium,0
3.5,3,3,4,4.2,80,169,4,4,3,4.2,3.0,4245,0,low,0
3.5,2,2,3,4.2,76,264,4,3,2,4.2,2.8,5482,0,low,1
3.8,2,2,2,1.8,63,145,2,3,2,2.4,2.8,1964,1,low,0
