Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_OnPrem_2,EMP_Sat_OnPrem_3,EMP_Sat_OnPrem_5,EMP_Sat_Remote_1,EMP_Sat_Remote_2,EMP_Sat_Remote_3,EMP_Sat_Remote_4,EMP_Sat_Remote_5,EMP_Engagement_1,EMP_Engagement_2,EMP_Engagement_3,EMP_Engagement_4,EMP_Engagement_5,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Work_Status2,Emp_Work_Status_3,Emp_Work_Status_4,Emp_Work_Status_5,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Emp_Competitive_1,Emp_Competitive_2,Emp_Competitive_3,Emp_Competitive_4,Emp_Competitive_5,Emp_Collaborative_1,Emp_Collaborative_2,Emp_Collaborative_3,Emp_Collaborative_4,Emp_Collaborative_5,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company
Human Resources,Level 2-4,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.64,4,201,3,0,0,low,46,3,4,4,5,1,2,1,2,1,3,1,4,1,5,1,4,5,5,3641,76,7,0
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.9,3,144,2,0,0,medium,6,5,5,2,3,4,4,2,3,3,4,4,4,2,3,2,5,1,5,5983,79,3,0
Warehouse,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.76,5,168,3,0,0,low,6,5,5,2,5,3,2,2,2,3,4,4,2,2,1,5,2,4,1,4088,75,9,0
Operations,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.8,3,166,2,0,0,low,10,4,4,5,1,2,3,2,3,3,5,3,1,5,5,1,1,5,2,5258,77,3,0
Operations,Manager,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,1,2,3,2,1,0.67,2,255,3,0,0,low,59,2,5,2,1,1,1,2,1,1,1,2,1,1,4,5,3,2,4,1514,85,6,1
Finance,Level 2-4,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.65,3,199,2,0,0,low,46,5,3,5,1,1,2,1,1,2,3,2,5,3,4,2,5,1,1,2728,88,8,0
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.95,6,271,4,0,0,low,3,5,1,3,1,1,2,2,2,1,2,1,4,3,5,2,4,1,4,1710,90,8,1
Operations,Senior Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.39,2,118,4,0,0,medium,37,2,2,5,3,2,1,1,1,1,4,1,1,4,4,1,4,2,2,1397,64,10,0
IT,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.56,3,257,6,0,0,medium,37,5,4,5,4,2,2,2,1,2,2,2,5,2,4,1,2,3,5,3304,76,8,0
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.78,3,262,7,1,1,high,5,2,1,1,2,4,5,5,2,3,1,2,3,1,4,1,5,2,5,5985,80,7,0
Operations,Senior Manager,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.65,3,185,2,0,0,high,49,2,1,3,2,2,1,2,1,1,5,2,5,4,3,1,1,2,3,3864,90,7,0
IT,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.61,4,182,3,0,0,low,58,2,3,1,1,2,2,2,1,2,2,2,3,2,1,2,4,1,3,3943,85,6,0
Operations,Senior Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.52,4,217,6,0,0,low,61,2,4,1,2,2,2,1,2,2,5,2,2,4,3,2,4,2,1,3974,76,6,0
Human Resources,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.51,4,223,2,0,0,low,57,5,4,4,4,2,1,2,2,2,3,2,2,2,1,2,2,4,3,3645,78,6,0
Warehouse,Director,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.87,3,194,2,0,0,medium,1,1,1,2,3,4,3,2,2,2,1,3,2,4,1,2,3,2,4,5931,77,2,0
Human Resources,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.74,5,255,2,0,0,medium,1,5,1,4,2,4,2,3,4,4,5,2,2,1,1,1,5,3,2,4604,75,9,0
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.74,3,229,7,0,1,high,4,3,3,5,2,4,2,5,2,3,4,3,5,4,5,2,5,5,1,5075,78,6,0
Human Resources,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.95,6,271,4,0,0,low,6,3,5,1,2,2,1,1,1,1,5,2,2,3,5,1,4,4,5,1934,88,2,1
Operations,Level 2-4,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.69,2,174,3,0,0,medium,12,1,5,3,2,2,1,1,1,2,1,2,5,3,2,2,1,4,3,1358,66,10,0
Human Resources,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.49,5,185,3,0,0,low,9,4,3,1,3,1,1,1,1,2,4,1,5,1,3,2,5,5,2,3653,88,7,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.78,3,189,2,0,0,low,9,3,5,4,4,3,4,3,3,4,1,3,1,2,4,2,1,1,3,4690,76,5,0
Human Resources,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.48,2,148,3,0,0,low,29,2,4,1,5,2,2,2,1,2,5,1,4,5,4,2,3,2,5,1776,65,7,1
Warehouse,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.58,3,201,3,0,0,medium,5,2,3,4,3,1,1,2,2,2,3,1,4,1,1,1,1,5,3,2040,77,8,0
IT,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.52,2,159,3,0,0,low,38,2,5,3,2,1,2,2,2,1,2,1,2,4,3,1,4,2,1,1458,66,9,1
IT,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.59,4,187,3,0,0,low,61,3,5,1,2,1,1,2,1,1,5,1,5,4,1,2,4,4,2,2207,86,10,0
Warehouse,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,5,216,3,0,0,low,40,3,2,5,1,2,1,1,1,1,2,1,4,2,5,1,3,4,3,2146,79,10,0
Operations,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,4,192,3,0,0,high,20,5,2,1,2,2,2,2,1,2,3,2,5,1,4,1,4,3,3,3872,88,8,0
IT,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.46,2,156,3,0,0,low,10,4,2,5,5,2,2,2,2,2,4,2,5,5,1,2,1,3,1,1659,72,8,1
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.87,3,223,7,0,0,high,5,1,1,5,3,3,3,3,2,4,1,2,4,4,1,1,5,3,3,4439,77,8,0
IT,Senior Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.98,4,146,10,0,0,low,3,4,4,4,1,4,4,3,3,3,4,3,2,5,5,1,5,5,2,4152,74,7,0
Warehouse,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.56,3,159,3,0,0,medium,32,2,4,2,2,1,1,2,2,2,4,2,2,4,1,2,1,2,3,1127,71,7,0
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.72,2,240,5,0,0,low,7,2,5,2,2,3,4,3,3,2,4,3,5,2,3,1,3,1,4,4138,80,6,0
Sales,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.55,2,135,3,0,0,low,21,3,2,3,5,1,2,1,1,2,4,2,1,3,5,1,4,3,5,1535,62,7,1
Sales,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,4,266,3,0,0,low,23,1,4,1,2,1,2,1,2,1,4,2,1,2,5,1,4,3,3,3775,75,6,0
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.84,3,240,7,0,0,medium,9,5,3,1,1,3,3,4,3,5,4,5,4,4,2,2,4,4,4,5525,75,9,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,1.0,5,218,5,0,0,medium,4,3,5,5,1,2,1,2,2,2,3,1,5,3,4,2,4,1,2,1433,87,3,1
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.79,5,271,4,0,0,high,10,5,3,2,2,4,4,3,3,4,4,3,3,2,4,2,1,4,5,4305,80,9,0
Finance,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.5,3,262,5,0,0,medium,5,3,3,4,4,2,1,1,1,1,1,1,2,5,3,1,4,2,1,2451,79,10,0
Operations,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.9,4,226,5,0,0,medium,6,1,3,4,5,2,2,2,2,1,3,2,4,1,5,1,4,5,1,1723,85,1,1
Operations,Director,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.44,5,255,5,1,0,low,47,3,4,2,2,1,2,2,1,2,4,1,4,1,4,1,1,4,5,3598,79,8,0
Finance,Senior Manager,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.62,4,217,2,0,0,medium,22,3,3,1,2,1,2,1,2,1,5,2,4,2,5,2,1,3,2,2138,78,6,0
IT,Director,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.49,3,268,3,0,0,low,1,1,3,3,3,2,2,2,2,1,1,1,5,2,2,1,2,1,2,2648,79,6,0
Warehouse,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.85,4,180,4,0,0,medium,9,2,2,2,4,4,2,2,4,2,4,2,2,1,5,2,3,2,3,4329,70,2,0
Human Resources,Director,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.97,4,237,5,0,0,medium,4,5,3,3,4,2,3,2,3,3,4,4,5,1,3,2,5,5,1,4917,80,4,0
Sales,Senior Manager,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.68,5,203,2,0,0,low,37,3,1,5,3,2,1,2,2,1,4,1,4,3,5,2,4,2,4,3531,80,6,0
Human Resources,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.72,4,214,2,1,0,low,8,5,1,2,5,3,3,3,2,2,2,2,3,1,2,5,4,1,2,4512,79,2,0
IT,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.57,2,151,3,1,0,low,12,5,4,3,3,2,2,1,1,1,3,1,5,4,5,2,2,5,5,1562,73,6,1
Operations,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.52,2,127,3,1,0,low,11,3,3,2,1,1,2,2,2,2,5,2,4,5,3,2,1,4,5,1561,75,8,1
Finance,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.46,2,150,3,1,0,low,34,4,4,1,1,2,1,2,1,1,1,2,5,1,5,2,2,5,3,1492,75,10,1
Warehouse,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,4,210,3,0,0,low,4,3,3,3,5,1,2,2,2,1,1,2,4,3,4,1,4,4,5,2372,75,8,0
Sales,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.56,2,131,3,0,0,low,39,3,1,4,1,2,1,1,1,1,3,1,5,5,3,1,1,1,4,1512,67,6,1
Human Resources,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.95,5,137,3,0,0,medium,10,1,3,3,5,3,4,3,3,3,5,4,3,1,1,2,4,5,5,4641,75,1,0
Sales,Director,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.36,4,128,4,0,0,medium,7,5,1,3,5,2,2,2,1,1,3,1,1,2,1,1,4,1,1,1940,86,6,0
Sales,Level 2-4,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.63,5,229,2,0,0,medium,59,5,3,5,3,2,2,1,2,1,2,2,3,5,5,2,3,3,5,3844,78,7,0
Human Resources,Senior Director,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,4,198,3,0,0,low,5,3,3,4,4,1,2,1,2,2,4,1,1,3,3,2,5,3,5,3709,86,10,0
IT,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.52,4,178,3,0,0,medium,29,1,2,2,1,2,1,2,1,2,2,1,5,5,1,1,4,5,1,1273,89,6,0
IT,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.61,5,254,5,0,0,low,36,4,1,4,3,1,1,1,2,2,5,1,1,4,3,1,3,2,1,2039,80,9,0
Warehouse,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.8,4,113,3,0,0,medium,10,5,5,4,4,3,4,3,4,3,5,4,4,2,2,2,4,1,5,4053,74,9,0
IT,Senior Director,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.62,3,147,3,0,0,low,2,4,4,5,5,1,1,1,1,1,1,1,4,1,2,1,5,3,5,1307,65,7,0
Sales,Senior Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.5,2,150,6,0,0,low,54,1,4,3,2,2,1,1,2,1,2,1,2,2,4,2,4,3,3,1481,64,8,0
IT,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.9,5,266,3,0,0,low,2,4,1,3,2,4,4,2,3,3,4,3,5,4,1,2,1,2,1,5260,79,7,0
Human Resources,Director,0,3,6,0.8,0.0,0.0,0.0,0.0,5,5,4,5,4,1,2,3,2,1,1.0,5,229,5,0,0,low,10,3,5,1,2,1,1,1,2,1,4,1,2,5,2,2,4,5,5,1951,88,4,1
Operations,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.83,3,226,2,0,0,medium,6,1,2,3,3,4,3,2,4,4,1,2,2,1,5,2,3,3,5,4946,79,8,0
Operations,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.94,6,144,4,0,0,low,5,4,5,5,1,2,4,3,3,4,1,2,1,4,4,1,2,3,2,4631,75,2,0
Finance,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.86,4,181,3,0,0,medium,6,2,4,5,2,3,3,3,2,4,5,3,3,2,3,1,4,3,4,5964,75,3,0
Sales,Director,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.68,4,238,3,0,0,low,13,4,3,4,2,2,1,2,2,1,2,2,5,3,2,2,1,2,4,2042,77,8,0
Operations,Senior Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.95,6,248,3,0,0,low,3,5,1,5,5,3,3,2,2,2,1,2,4,5,5,2,2,2,4,5709,78,7,0
Warehouse,Level 2-4,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.64,2,211,3,0,0,medium,12,3,3,1,2,2,2,1,1,1,5,1,3,1,3,2,4,2,5,3296,75,6,0
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.96,3,268,4,0,0,low,6,2,4,3,1,3,2,3,3,4,4,4,3,3,2,2,3,3,5,4415,80,4,0
Sales,Senior Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.7,6,141,3,1,0,medium,8,5,4,3,2,2,3,3,3,4,2,3,3,4,4,2,1,3,1,5031,78,2,0
Operations,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.82,5,158,2,0,0,low,4,1,5,4,1,4,2,3,2,3,1,4,4,3,2,2,1,2,3,5736,72,6,0
Human Resources,Level 1,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.67,5,133,10,0,0,medium,53,2,5,5,1,1,2,2,1,2,4,1,4,2,3,1,5,2,5,1674,86,8,0
Finance,Level 1,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.7,3,195,3,0,0,medium,47,5,4,4,4,2,2,1,2,1,5,2,3,2,4,2,5,5,3,2439,88,6,0
Finance,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.97,3,263,3,0,0,medium,4,1,4,4,2,4,3,3,4,4,3,4,3,3,4,5,1,4,3,4616,76,4,0
Warehouse,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.48,5,273,2,0,0,medium,7,5,1,5,4,2,2,1,2,1,5,1,4,3,4,2,3,4,2,2796,76,8,0
Finance,Senior Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.6,3,188,3,0,0,high,9,5,1,5,3,2,1,1,1,1,5,2,3,1,1,1,1,1,4,3206,86,9,0
Warehouse,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.88,6,183,4,0,0,medium,3,3,5,1,3,2,2,2,4,4,2,3,4,5,2,2,5,4,2,4842,78,5,0
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.9,7,281,4,0,0,low,9,1,5,1,3,1,2,2,2,1,4,1,5,4,4,1,3,3,2,1235,86,1,1
IT,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.78,3,206,3,1,1,high,5,4,3,2,5,5,5,5,3,2,5,2,5,5,2,2,4,2,2,4022,76,2,0
Finance,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.56,4,272,3,0,0,low,55,3,1,4,1,1,2,2,1,2,2,2,5,4,3,1,3,1,4,3537,79,7,0
Operations,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.88,6,284,4,0,0,low,9,4,2,2,3,2,2,1,2,1,5,1,5,3,1,2,2,4,4,1436,85,2,1
Operations,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.7,4,225,5,0,0,low,5,4,1,1,1,2,3,2,3,3,3,3,1,3,3,2,4,3,3,5060,78,9,0
Human Resources,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.8,6,304,4,0,0,low,9,2,1,1,5,1,1,2,1,2,2,2,1,2,1,1,1,2,5,1392,89,5,1
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.91,4,229,5,0,0,low,7,4,4,2,5,2,1,2,2,2,3,2,3,5,5,1,3,3,4,1049,89,7,1
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.94,4,184,7,0,0,medium,5,3,2,5,5,2,2,4,2,4,2,3,5,5,5,2,1,4,2,5920,80,9,0
Sales,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.78,2,198,2,0,0,medium,4,5,1,3,5,1,2,1,1,1,1,2,3,1,2,2,2,2,4,1913,86,6,1
Sales,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.89,2,173,3,0,0,low,10,2,3,5,2,2,2,3,2,4,3,3,4,5,1,1,4,4,3,4736,70,3,0
Warehouse,Senior Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.86,4,250,3,0,0,low,10,3,2,3,4,4,3,2,2,4,4,3,2,1,3,1,5,3,4,4316,75,2,0
Finance,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.47,2,151,3,0,0,medium,19,1,4,1,1,1,2,2,2,2,3,2,2,1,4,2,5,3,2,7148,66,8,1
Warehouse,Senior Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.39,6,246,4,0,0,medium,49,4,1,2,4,1,2,1,1,2,5,2,4,4,5,2,4,1,1,2846,76,6,0
Human Resources,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.87,5,258,5,0,0,low,4,3,3,2,3,1,1,1,1,1,1,1,5,1,1,2,1,3,1,1665,88,9,1
Warehouse,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.93,6,279,4,0,0,low,5,4,1,5,5,1,2,2,2,2,4,1,4,2,5,1,5,2,5,1241,86,5,1
Operations,Manager,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.66,4,150,3,0,0,low,48,2,2,2,1,1,2,2,1,1,1,1,4,2,4,2,4,2,1,1193,88,6,0
Finance,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.81,3,249,2,0,0,low,2,1,1,4,2,3,3,3,3,2,2,2,4,1,3,2,3,1,3,5572,78,7,0
IT,Senior Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.53,5,169,3,0,0,low,46,2,4,4,4,1,1,1,2,1,2,1,3,4,5,1,2,5,1,1285,90,7,0
Finance,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.55,4,269,3,0,0,high,25,3,1,4,3,1,1,2,1,1,4,1,1,3,4,2,1,4,1,3583,75,8,0
Finance,Level 2-4,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.67,3,264,2,0,0,medium,33,5,2,2,3,1,2,2,2,1,1,1,2,4,3,1,4,4,5,2021,75,7,0
Human Resources,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.6,2,163,3,0,0,medium,37,5,3,5,3,1,1,2,1,2,2,1,1,3,2,4,1,3,1,1079,71,8,0
